,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
1394,569866148,3670026,-4.9148173,-2.4645913,-26.707321,0.020612868,0.10002833,-0.01422128,54.44431
1395,569869972,3670026,-3.8910565,0.38833952,-11.366713,-0.29156289,0.31936628,0.27089673,54.414932
1396,569874922,3670026,4.796065,1.6247053,4.205176,-0.12058794,0.18013622,0.000106526444,54.44431
1397,569877502,3670026,-6.0932436,-2.657564,-25.313894,0.17198694,0.09677927,-0.013741911,54.365974
1398,569881173,3670026,0.93804824,0.18243816,-7.866868,-0.19052255,0.3065831,0.26620957,54.361076
1399,569883722,3670026,-4.5877695,-4.8310204,-17.47863,0.4011253,-0.082025364,0.0027696874,54.424725
1400,569887453,3670026,-1.058716,-0.5152322,-18.159542,-0.2951848,0.025885927,0.047990162,54.390453
1401,569891192,3670026,5.5344367,1.8138472,6.729143,0.10349044,-0.13869743,0.15813851,54.34149
1402,569894961,3670026,-7.4761343,-4.4105983,-19.327433,0.3414705,-0.19228023,-0.0050067427,54.410038
1403,569898743,3670026,0.55880666,0.13694833,-15.953045,-0.35782233,-0.13789847,0.033928674,54.414932
1404,569901274,3670026,-2.5981877,3.0406363,-7.4330387,0.32969934,0.0231695,0.079095885,54.34149
1405,569904974,3670026,-0.27006596,8.867644,-20.104591,-0.49497512,0.27361318,0.07728493,54.38556
1406,569908730,3670026,6.577351,0.6952762,-1.6912642,0.17321199,0.106579706,-0.09129316,54.356182
1407,569913742,3670026,-0.7584831,1.5859193,6.4767947,0.3457316,-0.26583675,0.045593318,54.356182
1408,569916303,3670026,3.5611358,5.164772,-20.69117,-0.6761233,0.114782244,0.099548966,54.3317
1409,569918830,3670026,-4.6476245,4.651455,-2.4286783,0.22796659,-0.114782244,0.08010788,54.38066
1410,569922501,3670026,-1.7568653,-2.1394587,-22.958479,-0.17294568,-0.19744676,0.012250541,54.3317
1411,569926262,3670026,0.08906431,-7.0561914,-17.60696,0.208419,-0.30120352,0.04809669,54.390453
1412,569930019,3670026,-2.1016302,1.2224793,1.2239159,0.20298614,-0.10120012,0.10290454,54.361076
1413,569935028,3670026,5.2806516,3.4026394,0.80301523,0.054648064,0.086499475,0.10125338,54.28274
1414,569937533,3670026,-5.399883,-6.5797453,-20.741928,0.13331784,-0.3788613,0.031851407,54.38066
1415,569940029,3670026,2.0887015,-3.8455667,-8.449616,-0.4729774,-0.09193232,0.112545185,54.3317
1416,569947616,3670026,2.5641901,0.6019023,6.2129536,0.17480989,0.08538094,0.100241385,54.34149
1417,569951318,3670026,1.5629349,-3.8235402,-3.3451786,-0.2294047,-0.23116238,0.009161274,54.410038
1418,569955117,3670026,-9.799947,1.9072211,-22.750662,-0.26237464,-0.2133192,-0.08058725,54.38556
1419,569957558,3670026,4.224808,-0.89782566,-1.5672444,0.003834952,-0.17150758,0.050014164,54.361076
1420,569961338,3670026,-6.9178066,0.34955347,-16.988777,-0.22178806,-0.16064188,-0.034301516,54.34149
1421,569965097,3670026,4.2133164,3.8642416,-9.042421,-0.2989132,0.023062976,0.09938917,54.326805
1422,569967592,3670026,-3.152206,-0.6502652,-7.56041,-0.15451661,-0.21465078,-0.046019424,54.336597
1423,569972662,3670026,-5.938578,0.44675803,-13.272976,-0.21544974,-0.09768475,-0.036645096,54.34149
1424,569975119,3670026,6.5155807,-6.7789426,-6.409278,-0.021891184,-0.17092168,0.054594804,54.375767
1425,569978959,3670026,-4.9267883,2.429157,-2.7916393,-0.3226686,-0.14807175,0.017736653,54.34639
1426,569982636,3670026,0.32848448,0.32944214,-13.438654,-0.4137487,-0.061252706,-0.033289514,54.365974
1427,569985134,3670026,-4.175009,0.66893995,-1.8885463,0.01917476,-0.09033442,-0.025086978,54.28274
1428,569988966,3670026,-1.7123331,6.097553,-14.273752,-0.8200938,-0.046072688,0.067484505,54.317013
1429,569992645,3670026,4.144842,-0.16711529,-15.838123,-0.01422128,0.026578348,0.08873653,54.34639
1430,569996424,3670026,-2.3463178,-0.31651348,-0.95720184,-0.059335228,-0.012676647,0.015659388,54.365974
1431,570000145,3670026,1.6352398,5.012501,-19.236454,-0.95197356,-0.09704559,0.13257216,54.356182
1432,570002726,3670026,-0.9552865,-2.3017855,-3.425624,0.3814712,0.020080235,-0.019068234,54.361076
1433,570006425,3670026,1.7865534,-1.0103531,-5.1987696,-0.65465826,0.0035686358,-0.02066613,54.361076
1434,570010242,3670026,-0.85473,0.2786851,-25.091234,-0.15526229,-0.13832459,0.08799084,54.34639
1435,570014016,3670026,-0.51235914,-3.4869153,-4.5202527,0.30919302,0.13118732,0.024181502,54.30722
1436,570017680,3670026,3.0851684,-2.4933217,-9.067321,-0.77460706,0.027217507,-0.0051665325,54.317013
1437,570021437,3670026,-4.810909,1.0635045,-23.31761,-0.01768339,-0.09917612,0.07387609,54.38556
1438,570025205,3670026,0.93325984,-4.6931143,-0.24085669,0.2684999,0.18636802,0.01272991,54.34149
