timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
593123361,32767,32767,32767,32767,32767,32767
593128302,32767,32767,32767,32767,32767,32767
593133244,32767,32767,32767,32767,32767,32767
593138185,32767,32767,32767,32767,32767,32767
593143127,32767,32767,32767,32767,32767,-18
593148068,32767,32767,32767,32767,32767,32767
593153011,32767,32767,32767,32767,32767,32767
593157951,32767,32767,32767,32767,32767,32767
593162892,32767,32767,32767,32767,32767,32767
593167834,32767,32767,32767,32767,32767,32767
593172776,32767,32767,32767,-7,32767,-2
593177717,32767,32767,32767,32767,32767,32767
593182658,32767,32767,32767,32767,32767,32767
593187599,32767,32767,32767,32767,32767,32767
593192541,32767,32767,32767,32767,32767,32767
593197482,32767,32767,32767,32767,32767,32767
593202423,32767,32767,32767,32767,32767,32767
593207365,32767,32767,32767,32767,32767,32767
593212306,32767,32767,32767,32767,-15,32767
593217248,32767,32767,32767,-18,32767,32767
593222189,32767,32767,32767,32767,32767,-9
593227130,32767,32767,32767,32767,32767,32767
593232073,32767,32767,32767,32767,32767,32767
593237027,32767,32767,32767,32767,32767,32767
593241955,32767,32767,32767,32767,32767,-30
593246896,32767,32767,32767,32767,32767,32767
593251839,32767,32767,32767,32767,-13,32767
593256779,32767,32767,32767,32767,32767,32767
593261726,32767,32767,32767,32767,32767,32767
593266662,32767,32767,32767,32767,32767,32767
593271603,32767,32767,32767,32767,32767,32767
593276545,32767,32767,32767,32767,32767,32767
593281486,32767,32767,32767,32767,32767,32767
593286427,32767,32767,32767,32767,32767,-26
593291369,32767,32767,32767,32767,32767,32767
593296310,32767,32767,32767,32767,32767,32767
593301251,32767,32767,32767,32767,32767,32767
593306193,32767,32767,32767,-43,32767,32767
593311134,32767,32767,32767,32767,32767,32767
593316076,32767,32767,32767,32767,32767,-43
593321017,32767,32767,32767,32767,32767,32767
593325959,32767,32767,32767,32767,32767,32767
593330900,32767,32767,32767,32767,32767,32767
593335841,32767,32767,32767,32767,32767,32767
593340786,32767,32767,32767,32767,32767,32767
593345726,32767,32767,32767,-6,32767,32767
593350665,32767,32767,32767,32767,32767,32767
593355607,32767,32767,32767,32767,32767,-18
593360548,32767,32767,32767,32767,32767,32767
593365490,32767,32767,32767,32767,32767,32767
