timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
595051236,595050829,0.40123075,-2.7699304,-10.211668
595056273,595055837,0.11109328,-1.792488,-9.747811
595061287,595060845,0.7140638,-2.6162028,-10.079657
595066291,595065854,0.68203986,-2.0578527,-9.686948
595071270,595070862,0.40002695,-2.673464,-9.055088
595076387,595075870,0.73791784,-2.4104292,-9.344976
595081321,595080894,0.2357501,-2.9041388,-9.996463
595086337,595085886,0.45248008,-1.9031925,-10.181984
595091327,595090894,-0.00923784,-2.4973142,-9.428621
595096347,595095902,0.65681124,-1.2582773,-9.904207
595101353,595100910,0.17882901,-2.369781,-9.500039
595106399,595105918,0.6769904,-1.1129291,-9.3296795
595111490,595110926,0.315966,-2.4867373,-9.091334
595116450,595115937,0.5555932,-1.8390216,-9.576013
595121388,595120942,0.331276,-2.260146,-9.725122
595126411,595125951,0.7162435,-1.5699617,-10.128166
595131371,595130958,0.1595354,-1.9022799,-9.510102
595136418,595135967,0.7529126,-1.4284253,-9.138923
595141391,595140975,0.60150796,-2.7554538,-8.550406
595146505,595145983,0.75290143,-1.5331719,-9.743765
595151491,595150991,0.2996379,-2.8184195,-9.28692
595156416,595155999,0.44887418,-2.0479248,-10.251675
595161452,595161009,0.60945237,-2.2717705,-9.678485
595166439,595166015,0.8804825,-1.785426,-9.479881
595171498,595171023,0.75224006,-2.3041654,-9.000843
595176562,595176031,0.6848116,-1.3443035,-9.11839
595181488,595181039,0.49590147,-2.629169,-9.944556
595186502,595186047,0.17591763,-1.8599218,-10.187021
595191495,595191055,0.33522046,-2.8280647,-10.444682
595196537,595196063,0.16398537,-1.5147704,-10.787569
595201547,595201072,0.755,-2.2949412,-10.016974
595206614,595206081,0.43017048,-1.7274029,-10.8646965
595211559,595211089,0.7115615,-2.9375036,-10.076673
595216562,595216098,0.38313144,-1.6791179,-10.269988
595221513,595221104,0.515967,-2.8642404,-9.974577
595226555,595226112,0.47028306,-2.1309807,-11.23504
595231599,595231120,0.14511053,-2.3637912,-11.235953
595236544,595236128,0.7622834,-1.4562528,-11.243879
595241542,595241136,0.04835925,-2.6565068,-9.698954
595246649,595246144,0.24028859,-0.9444218,-10.592932
595251680,595251152,0.40975448,-2.8060803,-10.853452
595256583,595256160,0.0601565,-1.5991822,-11.12127
595261605,595261168,0.17278096,-2.3619277,-10.674967
595266623,595266176,0.42494404,-1.0841976,-10.962092
595271785,595271184,0.4082,-2.56645,-11.3235445
595276760,595276193,0.31423584,-2.0543852,-11.459772
595281642,595281200,-0.107486725,-2.6564143,-11.287818
595286719,595286209,0.5773569,-2.1782715,-11.595958
595291686,595291216,-0.01319797,-2.447744,-10.755386
595296702,595296224,0.4243471,-2.2159283,-11.559297
595301660,595301233,0.009259152,-2.7083344,-10.601888
595306748,595306241,0.31489635,-2.284395,-10.271837
595311730,595311249,0.050878663,-2.8646338,-10.324361
595316738,595316257,0.6704187,-2.3122466,-11.015923
595321675,595321265,0.48952535,-2.7370868,-11.451137
595326715,595326273,0.5121632,-2.184135,-10.852999
595331779,595331281,-0.13728897,-2.6799655,-9.500934
595336714,595336289,-0.2050692,-2.4702404,-9.657438
595341735,595341297,-0.10213163,-1.8790828,-10.172541
595346907,595346305,0.3315542,-2.4520502,-10.488377
595351840,595351313,0.47735116,-1.9602348,-10.810921
595356726,595356321,0.5075541,-2.5622206,-10.653374
595361747,595361329,0.29413816,-1.739779,-11.000058
595366784,595366337,0.7105637,-2.391614,-10.56299
595371816,595371345,0.6466496,-1.3075162,-11.629528
595376930,595376353,0.82393026,-2.6744113,-11.325373
595381845,595381361,0.2255824,-1.6364074,-11.859707
595386863,595386369,-0.045630153,-2.673568,-11.579951
595391930,595391377,0.06496283,-1.4479265,-11.125326
595396806,595396385,-0.28104433,-2.2581687,-10.824159
595401838,595401393,-0.0864555,-1.8746556,-9.816864
595406834,595406401,-0.21000443,-3.0586207,-10.597326
