timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
565714115,-0.015470607,-0.0065770117,0.0026919106,5009,0,-0.82865703,0.51856935,-9.930242,5009,0,0,1,1
565719126,-0.00072040973,0.0075446414,0.0035408295,5011,0,-0.9794057,-0.031479277,-9.90099,5011,0,0,1,1
565724134,-0.0034119557,-0.006559472,0.0007274048,5008,0,-0.6184614,0.26764017,-10.021182,5008,0,0,1,1
565729152,-0.0109498985,-0.007993619,0.0024296134,5018,0,-0.50780386,0.29039967,-10.182742,5018,0,0,1,1
565734154,0.0037335288,0.0090606185,-0.0015231307,5002,0,-1.0148246,0.15219024,-9.836827,5002,0,0,1,1
565739163,0.000648978,-0.0025192348,-0.0046912446,5009,0,-0.6952962,0.039415248,-10.034579,5009,0,0,1,1
565744173,0.0019749943,-0.0010734284,-0.0036335073,5010,0,-0.6697271,0.37608567,-9.95645,5010,0,0,1,1
565749182,0.0007348591,0.007552805,-0.0022260507,5009,0,-1.0798619,0.30308282,-9.948826,5009,0,0,1,1
565754194,0.0014234185,0.005991382,-0.0038843753,5012,0,-0.61873776,0.10207714,-10.116881,5012,0,0,1,1
565759202,-0.011149087,-0.006420169,-0.0037031714,5008,0,-0.41960886,0.14142953,-10.041986,5008,0,0,1,1
565764211,-0.01710196,-0.004982825,-0.0013337247,5009,0,-0.89303195,0.5017264,-10.105259,5009,0,0,1,1
565769221,-0.0084431665,-0.0027570145,0.0014468117,5010,0,-0.84575224,0.046588216,-9.8769,5010,0,0,1,1
565774230,-0.016000835,0.006514741,0.004049975,5009,0,-0.7203356,0.31108505,-9.799066,5009,0,0,1,1
565779242,-0.006551098,-0.0015138097,0.006934945,5012,0,-0.72828174,0.23620172,-10.027818,5012,0,0,1,1
